Auction_Date,generation_type,Total_Volume_Offered,Total_Volume_Assigned,Total_Number_of_Winners,Weighted_Avg_Price
2024-03-20,Wind,3920222.0,3920222.0,77.0,0.57
2024-03-20,Hydro,315618.0,315618.0,18.0,0.5
2024-03-20,Solar,307114.0,307114.0,34.0,0.52
2024-03-20,Thermal,326939.0,326939.0,20.0,0.5
2024-04-17,Solar,371365.0,371365.0,48.0,1.5
2024-04-17,Hydro,320806.0,320806.0,24.0,1.48
2024-04-17,Thermal,322342.0,322342.0,21.0,1.42
2024-04-17,Wind,3197399.0,3197399.0,72.0,1.48
2024-05-15,Thermal,318346.0,318346.0,22.0,0.78
2024-05-15,Wind,3343180.0,3343180.0,85.0,0.81
2024-05-15,Hydro,295923.0,295923.0,31.0,0.78
2024-05-15,Solar,462582.0,462582.0,46.0,0.77
2024-06-19,Hydro,343470.0,343470.0,26.0,1.11
2024-06-19,Solar,812915.0,812914.0,40.0,1.12
2024-06-19,Thermal,316345.0,316345.0,20.0,1.11
2024-06-19,Wind,2559196.0,2559196.0,58.0,1.13
2024-07-17,Wind,2613222.0,2613221.0,84.0,0.83
2024-07-17,Hydro,323600.0,323600.0,30.0,0.82
2024-07-17,Solar,947516.0,947516.0,64.0,0.82
2024-07-17,Thermal,297511.0,297511.0,27.0,0.81
2024-08-21,Solar,1022021.0,1022021.0,66.0,0.84
2024-08-21,Hydro,371543.0,371543.0,26.0,0.83
2024-08-21,Wind,1358239.0,1358239.0,64.0,0.86
2024-08-21,Thermal,323202.0,323201.0,24.0,0.84
2024-09-18,Hydro,295572.0,295572.0,37.0,0.63
2024-09-18,Solar,1062872.0,1062872.0,64.0,0.65
2024-09-18,Thermal,294670.0,294670.0,29.0,0.62
2024-09-18,Wind,1292160.0,1292160.0,60.0,0.65
2024-10-16,Wind,1141484.0,1141483.0,69.0,0.46
2024-10-16,Hydro,228595.0,228595.0,27.0,0.45
2024-10-16,Solar,1340179.0,1340179.0,73.0,0.46
2024-10-16,Thermal,314881.0,314881.0,20.0,0.43
2024-11-20,Solar,1297011.0,1297011.0,74.0,0.35
2024-11-20,Wind,1132071.0,1132071.0,77.0,0.34
2024-11-20,Hydro,142979.0,142979.0,25.0,0.34
2024-11-20,Thermal,314615.0,314615.0,19.0,0.34
2024-12-11,Wind,2284053.0,2284053.0,41.0,0.45
2024-12-11,Hydro,178939.0,178939.0,13.0,0.45
2024-12-11,Solar,919114.0,919114.0,30.0,0.45
2024-12-11,Thermal,305227.0,305227.0,12.0,0.45
